WEEK_NUM,GAME_DATE,GAME_TIME_SCORE,AWAY_SCHOOL,HOME_SCHOOL,GAME_LOCATION
2,"Saturday, September 10, 2022 ","JMU 63, NORF 7",2450,256,"Harrisonburg, VA"
2,"Saturday, September 10, 2022 ","MTSU 34, CSU 19",2393,36,"Fort Collins, CO"
2,"Saturday, September 10, 2022 ","UCLA 45, ALST 7",2011,26,"Pasadena, CA"
2,"Saturday, September 10, 2022 ","UIW 55, NEV 41",2916,2440,"Reno, NV"
2,"Saturday, September 10, 2022 ","KU 55, WVU 42 (OT)",2305,277,"Morgantown, WV"
2,"Saturday, September 10, 2022 ","ECU 39, ODU 21",295,151,"Greenville, NC"
2,"Saturday, September 10, 2022 ","HC 37, BUFF 31",107,2084,"Buffalo, NY"
2,"Saturday, September 10, 2022 ","M-OH 31, RMU 14",2523,193,"Oxford, OH"
2,"Saturday, September 10, 2022 ","CCU 31, GWEB 27",2241,324,"Conway, SC"
2,"Saturday, September 10, 2022 ","FAU 42, SELA 9",2545,2226,"Boca Raton, FL"
2,"Saturday, September 10, 2022 ","LIB 21, UAB 14",5,2335,"Lynchburg, VA"
2,"Saturday, September 10, 2022 ","SYR 48, CONN 14",183,41,"East Hartford, CT"
2,"Saturday, September 10, 2022 ","GT 35, WCU 17",2717,59,"Atlanta, GA"
2,"Saturday, September 10, 2022 ","TOL 55, MASS 10",113,2649,"Toledo, OH"
2,"Saturday, September 10, 2022 ","WEB 35, USU 7",2692,328,"Logan, UT"
2,"Saturday, September 10, 2022 ","TULN 52, ALCN 0",2016,2655,"New Orleans, LA"
2,"Saturday, September 10, 2022 ","SMU 45, LAM 16",2320,2567,"Dallas, TX"
2,"Saturday, September 10, 2022 ","USF 42, HOW 20",47,58,"Tampa, FL"
2,"Saturday, September 10, 2022 ","TLSA 38, NIU 35",2459,202,"Tulsa, OK"
2,"Saturday, September 10, 2022 ","UL 49, EMU 21",2199,309,"Lafayette, LA"
2,"Saturday, September 10, 2022 ","TROY 38, AAMU 17",2010,2653,"Troy, AL"
2,"Saturday, September 10, 2022 ","TXST 41, FIU 12",2229,326,"San Marcos, TX"
2,"Saturday, September 10, 2022 ","LT 52, SFA 17",2617,2348,"Ruston, LA"
2,"Saturday, September 10, 2022 ","AUB 24, SJSU 16",23,2,"Auburn, AL"
2,"Saturday, September 10, 2022 ","LSU 65, SOU 17",2582,99,"Baton Rouge, LA"
2,"Saturday, September 10, 2022 ","GASO 45, NEB 42",290,158,"Lincoln, NE"
2,"Saturday, September 10, 2022 ","UNT 59, TXSO 27",2640,249,"Denton, TX"
2,"Saturday, September 10, 2022 ","RICE 52, MCN 10",2377,242,"Houston, TX"
2,"Saturday, September 10, 2022 ","TCU 59, TAR 17",2627,2628,"Fort Worth, TX"
2,"Saturday, September 10, 2022 ","VT 27, BC 10",103,259,"Blacksburg, VA"
2,"Saturday, September 10, 2022 ","SDSU 38, IDST 7",304,21,"San Diego, CA"
2,"Saturday, September 10, 2022 ","ULM 35, NICH 7",2447,2433,"Monroe, LA"
2,"Saturday, September 10, 2022 ","ORE 70, EWU 14",331,2483,"Eugene, OR"
2,"Saturday, September 10, 2022 ","IU 35, IDHO 22",70,84,"Bloomington, IN"
2,"Saturday, September 10, 2022 ","UTEP 20, NMSU 13",166,2638,"El Paso, TX"
2,"Saturday, September 10, 2022 ","ORST 35, FRES 32",204,278,"Fresno, CA"
2,"Saturday, September 10, 2022 ","MSST 39, ARIZ 17",344,12,"Tucson, AZ"
3,"Friday, September 16, 2022 ","FSU 35, LOU 31",52,97,"Louisville, KY"
3,"Friday, September 16, 2022 ","WYO 17, AFA 14",2005,2751,"Laramie, WY"
3,"Saturday, September 17, 2022 ","UGA 48, SC 7",61,2579,"Columbia, SC"
3,"Saturday, September 17, 2022 ","ALA 63, ULM 7",2433,333,"Tuscaloosa, AL"
3,"Saturday, September 17, 2022 ","OSU 77, TOL 21",2649,194,"Columbus, OH"
3,"Saturday, September 17, 2022 ","MICH 59, CONN 0",41,130,"Ann Arbor, MI"
3,"Saturday, September 17, 2022 ","CLEM 48, LT 20",2348,228,"Clemson, SC"
3,"Saturday, September 17, 2022 ","OU 49, NEB 14",201,158,"Lincoln, NE"
3,"Saturday, September 17, 2022 ","USC 45, FRES 17",278,30,"Los Angeles, CA"
3,"Saturday, September 17, 2022 ","OKST 63, UAPB 7",2029,197,"Stillwater, OK"
3,"Saturday, September 17, 2022 ","UK 31, YSU 0",2754,96,"Lexington, KY"
3,"Saturday, September 17, 2022 ","ARK 38, MOST 27",2623,8,"Fayetteville, AR"
3,"Saturday, September 17, 2022 ","WASH 39, MSU 28",127,264,"Seattle, WA"
3,"Saturday, September 17, 2022 ","ORE 41, BYU 20",252,2483,"Eugene, OR"
3,"Saturday, September 17, 2022 ","TA&M 17, MIA 9",2390,245,"College Station, TX"
3,"Saturday, September 17, 2022 ","UTAH 35, SDSU 7",21,254,"Salt Lake City, UT"
3,"Saturday, September 17, 2022 ","TENN 63, AKR 6",2006,2633,"Knoxville, TN"
3,"Saturday, September 17, 2022 ","NCST 27, TTU 14",2641,152,"Raleigh, NC"
3,"Saturday, September 17, 2022 ","BAY 42, TXST 7",326,239,"Waco, TX"
3,"Saturday, September 17, 2022 ","FLA 31, USF 28",58,57,"Gainesville, FL"
3,"Saturday, September 17, 2022 ","WAKE 37, LIB 36",2335,154,"Winston-Salem, NC"
3,"Saturday, September 17, 2022 ","MISS 42, GT 0",145,59,"Atlanta, GA"
3,"Saturday, September 17, 2022 ","TEX 41, UTSA 20",2636,251,"Austin, TX"
3,"Saturday, September 17, 2022 ","PSU 41, AUB 12",213,2,"Auburn, AL"
3,"Saturday, September 17, 2022 ","PITT 34, WMU 13",221,2711,"Kalamazoo, MI"
3,"Saturday, September 17, 2022 ","VT 27, WOF 7",2747,259,"Blacksburg, VA"
3,"Saturday, September 17, 2022 ","MIZ 34, ACU 17",2000,142,"Columbia, MO"
3,"Saturday, September 17, 2022 ","ARMY 49, VILL 10",222,349,"West Point, NY"
3,"Saturday, September 17, 2022 ","SIU 31, NU 24",79,77,"Evanston, IL"
3,"Saturday, September 17, 2022 ","SYR 32, PUR 29",2509,183,"Syracuse, NY"
3,"Saturday, September 17, 2022 ","CIN 38, M-OH 17",2132,193,"Cincinnati, OH"
3,"Saturday, September 17, 2022 ","KENT 63, LIU 10",112358,2309,"Kent, OH"
3,"Saturday, September 17, 2022 ","IU 33, WKU 30 (OT)",98,84,"Bloomington, IN"
3,"Saturday, September 17, 2022 ","WVU 65, TOW 7",119,277,"Morgantown, WV"
3,"Saturday, September 17, 2022 ","CCU 38, BUFF 26",2084,324,"Conway, SC"
3,"Saturday, September 17, 2022 ","CMU 41, BUCK 0",2083,2117,"Mount Pleasant, MI"
3,"Saturday, September 17, 2022 ","UCLA 32, USA 31",6,26,"Pasadena, CA"
3,"Saturday, September 17, 2022 ","ISU 43, OHIO 10",195,66,"Ames, IA"
3,"Saturday, September 17, 2022 ","RUTG 16, TEM 14",164,218,"Philadelphia, PA"
3,"Saturday, September 17, 2022 ","UVA 16, ODU 14",295,258,"Charlottesville, VA"
3,"Saturday, September 17, 2022 ","BALL 31, MUR 0",93,2050,"Muncie, IN"
3,"Saturday, September 17, 2022 ","ND 24, CAL 17",25,87,"Notre Dame, IN"
3,"Saturday, September 17, 2022 ","TULN 17, KSU 10",2655,2306,"Manhattan, KS"
3,"Saturday, September 17, 2022 ","UNLV 58, UNT 27",249,2439,"Las Vegas, NV"
3,"Saturday, September 17, 2022 ","VAN 38, NIU 28",238,2459,"DeKalb, IL"
3,"Saturday, September 17, 2022 ","MINN 49, COLO 7",38,135,"Minneapolis, MN"
3,"Saturday, September 17, 2022 ","WISC 66, NMSU 7",166,275,"Madison, WI"
3,"Saturday, September 17, 2022 ","MASS 20, STBK 3",2619,113,"Amherst, MA"
3,"Saturday, September 17, 2022 ","APP 32, TROY 28",2653,2026,"Boone, NC"
3,"Saturday, September 17, 2022 ","UAB 35, GASO 21",290,5,"Birmingham, AL"
3,"Saturday, September 17, 2022 ","KU 48, HOU 30",2305,248,"Houston, TX"
3,"Saturday, September 17, 2022 ","BOIS 30, UTM 7",2630,68,"Boise, ID"
3,"Saturday, September 17, 2022 ","WSU 38, CSU 7",36,265,"Pullman, WA"
3,"Saturday, September 17, 2022 ","BGSU 34, MRSH 31 (OT)",276,189,"Bowling Green, OH"
3,"Saturday, September 17, 2022 ","LSU 31, MSST 16",344,99,"Baton Rouge, LA"
3,"Saturday, September 17, 2022 ","DUKE 49, NCAT 20",2448,150,"Durham, NC"
3,"Saturday, September 17, 2022 ","ECU 49, CAM 10",2097,151,"Greenville, NC"
3,"Saturday, September 17, 2022 ","TLSA 54, JVST 17",55,202,"Tulsa, OK"
3,"Saturday, September 17, 2022 ","USM 64, NWST 10",2466,2572,"Hattiesburg, MS"
3,"Saturday, September 17, 2022 ","MEM 44, ARST 32",2032,235,"Memphis, TN"
3,"Saturday, September 17, 2022 ","CLT 42, GAST 41",2429,2247,"Atlanta, GA"
3,"Saturday, September 17, 2022 ","MTSU 49, TNST 6",2634,2393,"Murfreesboro, TN"
3,"Saturday, September 17, 2022 ","IOWA 27, NEV 0",2440,2294,"Iowa City, IA"
3,"Saturday, September 17, 2022 ","MD 34, SMU 27",2567,120,"College Park, MD"
3,"Saturday, September 17, 2022 ","BC 38, ME 17",311,103,"Chestnut Hill, MA"
3,"Saturday, September 17, 2022 ","UCF 40, FAU 14",2116,2226,"Boca Raton, FL"
3,"Saturday, September 17, 2022 ","RICE 33, UL 21",309,242,"Houston, TX"
3,"Saturday, September 17, 2022 ","ORST 68, MTST 28",147,204,"Portland, OR"
3,"Saturday, September 17, 2022 ","UNM 27, UTEP 10",2638,167,"Albuquerque, NM"
3,"Saturday, September 17, 2022 ","ARIZ 31, NDSU 28",2449,12,"Tucson, AZ"
3,"Saturday, September 17, 2022 ","EMU 30, ASU 21",2199,9,"Tempe, AZ"
3,"Saturday, September 17, 2022 ","HAW 24, DUQ 14",2184,62,"Honolulu, HI"
4,"Thursday, September 22, 2022 ","WVU 33, VT 10",277,259,"Blacksburg, VA"
4,"Thursday, September 22, 2022 ","CCU 41, GAST 24",324,2247,"Atlanta, GA"
4,"Thursday, September 22, 2022 ","ILL 31, UTC 0",236,356,"Champaign, IL"
4,"Friday, September 23, 2022 ","SYR 22, UVA 20",258,183,"Syracuse, NY"
4,"Friday, September 23, 2022 ","AFA 48, NEV 20",2440,2005,"USAF Academy, CO"
4,"Friday, September 23, 2022 ","UTEP 27, BOIS 10",68,2638,"El Paso, TX"
4,"Saturday, September 24, 2022 ","UGA 39, KENT 22",2309,61,"Athens, GA"
4,"Saturday, September 24, 2022 ","ALA 55, VAN 3",238,333,"Tuscaloosa, AL"
4,"Saturday, September 24, 2022 ","OSU 52, WISC 21",275,194,"Columbus, OH"
4,"Saturday, September 24, 2022 ","MICH 34, MD 27",120,130,"Ann Arbor, MI"
4,"Saturday, September 24, 2022 ","CLEM 51, WAKE 45 (2OT)",228,154,"Winston-Salem, NC"
4,"Saturday, September 24, 2022 ","KSU 41, OU 34",2306,201,"Norman, OK"
4,"Saturday, September 24, 2022 ","USC 17, ORST 14",30,204,"Corvallis, OR"
4,"Saturday, September 24, 2022 ","UK 31, NIU 23",2459,96,"Lexington, KY"
4,"Saturday, September 24, 2022 ","TA&M 23, ARK 21",8,245,"Arlington, TX"
4,"Saturday, September 24, 2022 ","TENN 38, FLA 33",57,2633,"Knoxville, TN"
4,"Saturday, September 24, 2022 ","NCST 41, CONN 10",41,152,"Raleigh, NC"
4,"Saturday, September 24, 2022 ","UTAH 34, ASU 13",254,9,"Tempe, AZ"
4,"Saturday, September 24, 2022 ","PSU 33, CMU 14",2117,213,"University Park, PA"
4,"Saturday, September 24, 2022 ","ORE 44, WSU 41",2483,265,"Pullman, WA"
4,"Saturday, September 24, 2022 ","MISS 35, TLSA 27",202,145,"Oxford, MS"
4,"Saturday, September 24, 2022 ","BAY 31, ISU 24",239,66,"Ames, IA"
4,"Saturday, September 24, 2022 ","WASH 40, STAN 22",24,264,"Seattle, WA"
4,"Saturday, September 24, 2022 ","BYU 38, WYO 24",2751,252,"Provo, UT"
4,"Saturday, September 24, 2022 ","TTU 37, TEX 34 (OT)",251,2641,"Lubbock, TX"
4,"Saturday, September 24, 2022 ","PITT 45, URI 24",227,221,"Pittsburgh, PA"
4,"Saturday, September 24, 2022 ","MTSU 45, MIA 31",2393,2390,"Miami Gardens, FL"
4,"Saturday, September 24, 2022 ","AUB 17, MIZ 14 (OT)",142,2,"Auburn, AL"
4,"Saturday, September 24, 2022 ","MSST 45, BGSU 14",189,344,"Starkville, MS"
4,"Saturday, September 24, 2022 ","TCU 42, SMU 34",2628,2567,"Dallas, TX"
4,"Saturday, September 24, 2022 ","KU 35, DUKE 27",150,2305,"Lawrence, KS"
4,"Saturday, September 24, 2022 ","LOU 41, USF 3",58,97,"Louisville, KY"
4,"Saturday, September 24, 2022 ","BUFF 50, EMU 31",2084,2199,"Ypsilanti, MI"
4,"Saturday, September 24, 2022 ","UCLA 45, COLO 17",26,38,"Boulder, CO"
4,"Saturday, September 24, 2022 ","TEM 28, MASS 0",113,218,"Philadelphia, PA"
4,"Saturday, September 24, 2022 ","OHIO 59, FOR 52",2230,195,"Athens, OH"
4,"Saturday, September 24, 2022 ","ND 45, UNC 32",87,153,"Chapel Hill, NC"
4,"Saturday, September 24, 2022 ","MINN 34, MSU 7",135,127,"East Lansing, MI"
4,"Saturday, September 24, 2022 ","CIN 45, IU 24",84,2132,"Cincinnati, OH"
4,"Saturday, September 24, 2022 ","JMU 32, APP 28",256,2026,"Boone, NC"
4,"Saturday, September 24, 2022 ","SDSU 17, TOL 14",2649,21,"San Diego, CA"
4,"Saturday, September 24, 2022 ","WKU 73, FIU 0",2229,98,"Bowling Green, KY"
4,"Saturday, September 24, 2022 ","MEM 44, UNT 34",249,235,"Memphis, TN"
4,"Saturday, September 24, 2022 ","UTSA 52, TXSO 24",2640,2636,"San Antonio, TX"
4,"Saturday, September 24, 2022 ","UCF 27, GT 10",59,2116,"Orlando, FL"
4,"Saturday, September 24, 2022 ","SAC 41, CSU 10",16,36,"Fort Collins, CO"
4,"Saturday, September 24, 2022 ","CAL 49, ARIZ 31",12,25,"Berkeley, CA"
4,"Saturday, September 24, 2022 ","LIB 21, AKR 12",2006,2335,"Lynchburg, VA"
4,"Saturday, September 24, 2022 ","NAVY 23, ECU 20 (2OT)",2426,151,"Greenville, NC"
4,"Saturday, September 24, 2022 ","GASO 34, BALL 23",2050,290,"Statesboro, GA"
